Identifier,Title,Date of Publication,Place of Publication
1793921,Next door Neighbours; a comedy; in three acts [and in prose]. From the French dramas L'Indigent [by L. S. Mercier] and Le Dissipateur [by P. Néricault Destouches],1791,London
1794371,"Herod and Pilate reconciled: or, A late dialogue betwixt an I. and a Malignant (upon the Kings return to Homeby). [Two political satires, in verse. By R. Bostock.]",1647,London?
1798563,"The Indians, a tragedy [in five acts and in verse. By W. Richardson.]",1790,London
1798997,"Industrial rivers of the United Kingdom ... By various well-known experts, etc. [Edited by Evan Rowland Jones. Reprinted from the “Shipping World”.]",1888,London
1799393,"The Banished Duke: or, The Tragedy of Infortunatus [i.e. James, Duke of Monmouth. In five acts, and in verse]",1690,London
1799649,Ingelheim. [A novel.] By the author of “Miss Molly” [B. M. Butt],1892,Edinburgh
1799702,"Poems ... With illustrations by G. J. Pinwell, E. J. Poynter, ... engraved by the Brothers Dalziel",1867,London
1800407,"A Summer Search for Sir John Franklin; with a Peep into the Polar Basin ... With short notices, by Professor Dickie, on the Botany, and by Dr. Sutherland, on the Meteorology and Geology; and a new chart of the Arctic Sea",1853,London
1800555,"The Golden Fleece Gazette: a weekly journal of narrative, science, adventure, and daily occurrences. Written by the passengers of the steam ship “Golden Fleece,” during their homeward voyage from India, May-November, 1862. [Edited by D. H. C. I., F. G. Smith, and F. Keyser.]",1863,London
1801063,Ingram Place. A novel. By a Cape Colonist [May Byrne],1874,London
1801724,"The Lost Inheritance, a novel",1852,London
1801888,The Great Salt Lake Trail,1898,New York
1803317,My Insect Queen. A novel. By the author of “Margaret's Engagement” [i.e. Catherine S. Wynne],1869,London
1803458,"The Inspector's rhapsody or soliloquy, on the loss of his wigg, in a scuffle with some Irish gentlemen at Ranelagh",1752,M. Cooper
1807827,"[Paris, 1889.] Des cartes topographiques européennes. Par M. le général Derrécagaix",1891,Paris
1810122,"Mittheilungen der internationalen Polar-Commission, redigirt von H. Wild, etc",1882,St. Petersburg
1812198,"The Antidote. A Letter of Enquiry addressed to R. J. Parker, Esq., and the Ratepayers of ... Selby. A sequel to Mr. Parker's Letter to ... Lord Londesborough. [Signed: Investigator.]",1861,York
1812854,Four years in the Ionian Islands. Their political and social condition. With a history of the British Protectorate. Edited by Viscount Kirkwall: Appendix,1864,London
1812885,Durch Süd-Amerika. Reise- und kulturhistorische Bilder ... Vom Autor bis auf die neueste Zeit vervollständigte Ausgabe ... Übersetzt von M. v. Pezold,1895,Berlin
1814020,"Histoire politique de la Révolution de Hongrie, 1847-49, etc",1859,Paris
1814208,"Travels in Egypt and Nubia, Syria and Asia Minor: during the years 1817 & 1818",1823,London
1814210,"Travels in Egypt and Nubia, Syria, and the Holy Land ... New edition",1868,London
1818826,"Mr. I's vindication of his conduct respecting the publication of the supposed Shakspeare MSS. [viz. those fabricated by S. W. H. Ireland,] being a preface or introduction to a reply to the critical labors of Mr. Malone, in his Enquiry into the authenticity of certain papers, etc",1796,London
1818869,"Verses spoken at the appearance of the King and Queene, Duke and Dutchesse of York, in Christ-Church Hall, Oxford, Sept: 29. 1663. (Verses spoken to the King, Queen, and Dutchesse of Yorke in St John's Library in Oxford. [By Thomas Laurence?])",1663,Oxford
1819998,Rhymes of Ironquill. Selected and arranged by J. A. Hammerton,1859,pp. xvi. 159. G. Redway
1820574,"Catherine Irving. A novel. By the author of “Ada Gresham” [i.e. Mary Anne Lupton, afterwards Needell]",1855,London
1820761,The Upper Ward of Lanarkshire described and delincated. The archæological and historical section by G. V. Irving. The statistical and topographical section by A. Murray,1864,Glasgow
1820917,"The Conquest of Florida, under Hernando de Soto",1835,London
1820978,The Alhambra ... With an introduction by E. R. Pennell. Illustrated with drawings of the places mentioned by J. Pennell: Single Works,1896,London
1821779,"Isaac Comnenus; a play [in five acts and in verse, by Sir H. Taylor]",1827,London
1822979,"Iseulte. By the author of “Vera,” etc. [Miss C. L. H. Dempster.]",1875,London
1823010,"Prisoners of War and Military Prisons. Personal narratives ... With a general account of Prison Life and Prisons in the South during the War of the Rebellion, ... by A. B. Isham ... H. M. Davidson ... and H. B. Furness. [Illustrated.]",1890,Cincinnati
1823263,"Ishtar and Izdubar, the epic of Babylon; or, the Babylonian Goddess of Love and the Hero and Warrior King; constructed from the great Accadian Epic ... found in cuneiform inscriptions on tablets ... now deposited in the British Museum ... Restored in modern verse, by L. Le C. Hamilton, etc",1884,London
1823645,"The Injured Islanders; or, the Influence of art upon the happiness of nature. [A poem. By Gerald Fitzgerald",1779,London
1823658,The Stent Book and Acts of the Balliary of Islay 1718-1843. [Edited by Lucy Ramsay.],1890,Edinburgh
1823663,"The Ile of Gulls [a comedy in five acts and in prose. By J. Day]. As it hath been often acted in the Black Fryers, by the Children of the Revels",1633,London
1824416,"Israel's Return from Babylon, an oratorio in four parts ... Composed by J. R. Schachner, etc",1862,London
1824718,"Forty Days in the Desert on the track of the Israelites; or, a Journey from Cairo by Wady Feiran to Mount Sinai and Petra. By the author of “Walks about Jerusalem” [i.e. William Henry Bartlett.] Third edition. [With illustrations and plates.]",1849,London
1824719,"[Forty Days in the Desert on the track of the Israelites; or, a Journey from Cairo by Wady Feiran to Mount Sinai and Petra. By the author of “Walks about Jerusalem” [i.e. William Henry Bartlett.] Third edition. [With illustrations and plates.]]",1862,London
1824901,"Annales de la Ville d'Issoire, manuscrit inédit sur l'histoire des guerres religieuses en Auvergne au 16e et 17e siècles, [variously attributed to Jean Charrier and Julien Blauf,] accompagné de notes; publié par J.-B. Bouillet. [With a map.]",1848,Clermont Ferrand
1824950,Magyarország Története. 1490-1606 ... Forditotta Vidovich Gy,1871,Debreczen
1825232,It might have been. A novel. By the author of “Tit for Tat” [Jane Grace Smith],1876,London
1825607,"Italian Scenes: a series of interesting delineations of remarkable views, and of ... celebrated remains of antiquity, etc. ([Chiefly] sketched by the Hon. K. Craven.) [With descriptive letterpress.]",1825,London
1831817,The Holy War by John Bunyan versified by E. J. With an introductory essay by the Rev. Octavius Freire Owen,1859,London
1831875,Treue Geschichte der Drangsale die das deutsche Dorf J. ... bei Mainz im ersten Revolutionskriege durch die Franzosen erlitten ... berichtet von F. L. J,1859,Leipzig
1831919,A Voyage in the S.S. Oceanic. By H. J[ardine],1882,Manchester
1832141,"The Tragedy of Captain Harrison; or, the Brownlow Street Mystery. Put together ... from the conflicting reports of the “Tryal of Hen. Harrison, gent.,” and the “Last words” of the convict, Lond. 1692. By R. C. J",1890,London
1832148,At the Sign of the Palm Tree. A record of some idle hours in sunset land by Madge Mortimer. Edited [or rather written] by R. L. N. J[ohnston],1899,London
1832587,"Okolice Galicyi M. B. Stęczyńskiego. [88 lithographic views from drawings by M. B. Stęczyński, with descriptive letter-press to nos. 1-80 by K. J.]",1847,Lwów
1832753,On the Trail of Don Quixote: being a record of rambles in the ancient province of La Mancha ... Illustrated by D. Vierge,1897,London
1833521,The Seraph of Assisi. [A poem.] Books. I-XII,1859,pp. 438. J. Duffy & Co.
1833811,"Robert O'Hara Burke, and the Australian Exploring Expedition of 1860",1862,London
1834146,"Annals of Ealing, from the twelfth century to the present time. Compiled from manorial and parochial documents ... With introductory preface by W. E. Oliver",1898,London
1834603,"Bonnie Bairns. Illustrated by H. Jackson. Edited by Edric Vredenburg. Verses by E. M. Chettle, etc",1893,London
1834905,"Landreise aus Ostindien nach Europa, unternommen im Jahre 1797 auf einem ... wenig bekannten Wege durch die ... Türkey, Siebenbürgen, Ungarn und Teutschland. Auszugsweise aus dem Englischen übersetzt. L. Degrandprés Reise nach der westlichen Küste von Afrika, oder dem Königreiche Loango, in den Jahren 1786 und 1787. Aus dem Französischen übersetzt ... von M. C. Sprengel",1804,Berlin & Hamburg
1837830,The Jacobite Conventicle. A poem [By Richard Ames],1692,London
1838738,"Capitain Jacobsen's Reise an der Nordwestküste Amerikas 1881-1883 zum Zwecke ethnologischer Sammlungen und Erkundigungen, nebst Beschreibung persönlicher Erlebnisse ... bearbeitet von A. Woldt, etc",1884,Leipzig
1838739,"Kaptein Jacobsens Reiser til Nordamerikas Nordvestkyst 1881-83 ... udarbeidet af A. Woldt. Oversat fra Tysk ved J. Utheim, etc. [Illustrated.]",1887,Kristiania
1838886,Den Nordiske Kriigs Krønicke utgifwen af Martin Weibull,1897,Kjøbenhavn
1840486,"Rueil, le château de Richelieu, la Malmaison, avec pièces justificatives",1845,Paris
1841674,"[Qanoon-e-Islan, or the Customs of the Moosulmans of India; comprising a full and exact account of their various rites and ceremonies ... By Jaffur Shurreef. Composed under the direction of, and translated by, G. A. Herklots.]",1863,Madras
1842585,"Praktische Anleitung zum gründlichen Studium der Erdkunde nach ihrer mathematischen, physikalischen und politischen Bedeutung",1847,Leipzig
1843254,Kolozsvár története ... oklevéltárral. (Kolozsvár története világositó rajzai ... kőre metszette Haske F.),1870,Budán
1844591,Valentine Duval; an autobiography of the last century [translated from the French by Miss B. Stebbing afterwards Mrs. Batty]. Edited by the author of “Mary Powell” [Miss A. Manning],1860,London
1845250,"Poetical Remains of James the First, King of Scotland. (A dissertation on the life and writings of James I.-Dissertation on the Scottish music [by the Editor, W. Tytler].)",1783,Edinburgh
1845815,"Some Impressions of East and South-East Africa. [With a portrait, and with an obituary notice of the author, signed: S. W. B.]",1897,London
1846047,Letters archaeological and historical relating to the Isle of Wight. By ... E. B. James ... Collected and arranged by his widow (R. B. James). [With a biographical sketch.],1896,London
1846073,"Account of an expedition from Pittsburgh to the Rocky Mountains, performed in the years 1819 and 20 ... under the command of Major Long, T. Say and other gentlemen of the party",1823,Philadelphia
1846217,"The Unknown Horn of Africa. An exploration from Berbera to the Leopard river ... With additions by G. J. Thrupp ... The narrative illustrations by Rose Hake, and the drawings of the fauna by K. Keuleman, etc",1888,London
1846218,"The Unknown Horn of Africa ... Second edition, containing the narrative portion and notes only. With an obituary notice by J. A. & W. D. James",1890,London
1846361,"An investigation of the circumstances attending the murder of John, Earl of Gowrie and Alexander Ruthven, by order of King James the Sixth of Scotland; with an Examination of the forged Restalrig Letters brought forward to exculpate the King",1849,London
1846455,"Adrian, or, the Clouds of the Mind: a romance",1852,London
1847327,All' Arciconsolo e al soci della R. Accademia della Crusca. Versi ... Tradⁿe di A. Severini,1875,Firenze
1848080,The Wolseley Series. Edited by Capt. W. H. James. Vol. 1-7,1897,London
1848119,"Warden refuted; being a defence of the British navy against the misrepresentations of a work ... entitled, “A statistical ... account of the United States of North America,” by D. B. Warden, ... in a letter to the author of that work",1819,London
1848459,"Story of the Rear Column of the Emin Pasha Relief Expedition ... Edited by Mrs. J. S. Jameson. [With a preface by Andrew Jameson.] With ... map and illustrations, etc. (Natural-History appendix. The Ornithological work of J. S. Jameson. By R. B. Sharpe. List of Coleoptera collected by Mr. Jameson on the Aruwimi. By H. W. Bates. Lepidptera Rhopalocera by F. D. Godman and O. Salvin. Lepidoptera Heterocera by H. Druce.)",1890,London
1850529,[The Exhumation of the Remains of Napoleon Bonaparte.] MS. notes [by J. Lockwood],1840,St. Helena
1850547,"Janita's Cross. By the Author of “St. Olave's” [Eliza Tabor, afterwards Stephenson.]",1864,London
1850759,"Slaves du sud, ou le peuple serbe avec les Croates et les Bulgares, aperçu de leur vie historique, politique et sociale",1853,Paris
1851057,Die Vereinigten Staaten Nordamerikas in der Gegenwart ... [Translated and edited] von ... W. Kämpfe. (Brief F. Le Plays an C. Jannet.),1893,Freiburg im Breisgau
1851437,"Schleswig-Holsteins Befreiung. Herausgegeben aus dem Nachlass des Professors Karl Jansen und ergänzt von Karl Samwer, etc",1897,Wiesbaden
1852138,"Bijdragen tot de Oudheidkunde en Geschiedenis, inzonderheid van Zeeuwsch-Vlaanderen",1856,Middelburg
1852172,Geschichte des deutschen Volkes seit dem Ausgang des Mittelalters. Bd. 1-8,1878,Freiburg im Breisgau
1852176,L'Allemagne et la réforme ... Traduit de l'allemand sur la quatorzième édition [of Janssen's “Geschichte des deutschen Volks seit dem Ausgang des Mittelalters”]: [Geschichte des Deutschen Volkes seit dem Ausgang des Mittelalters],1887,Paris
1852821,"Les Chateaux de l'arrondissement du Havre, description historique, archéologique et pittoresque ... faisant suite aux Promenades dans Quatre Chateaux Historiques aux environs du Havre ... Poésie par J. Bigot",1861,Havre
1853692,"Manners and customs of the Japanese, in the nineteenth century; from recent Dutch visitors of Japan, and the German of Dr. P. F. von Siebold. [Edited by Mrs. W. Busk.]",1841,London
1854252,"Young Mrs. Jardine. [A novel.] By the author of John Halifax, Gentleman [D. M. Mulock afterwards Craik.]",1879,London
1854253,"[Young Mrs. Jardine. [A novel.] By the author of John Halifax, Gentleman [D. M. Mulock afterwards Craik.]]",1880,London
1854273,"Remarks upon the Letters of Thomas Winter and the Lord Mounteagle, lately discovered by J. Bruce ... Also upon the evidence of Lord Mounteagle's implication in the Gunpowder Treason, etc. (From the Archaeologia, etc.)",1841,London
1854770,"Diary of an Embassy from King George of Bohemia to King Louis XI. of France, in the year ... 1464. From a contemporary manuscript, literally translated from the original Slavonic [of-Jaroslaw] by A. H. Wratislaw",1871,London
1855207,"[History of the Hawaiian or Sandwich Islands ..., from the earliest traditionary period to the present time.]",1872,Honolulu
1855791,Sir Jasper's Tenant. By the Author of “Lady Audley's Secret” ... [M. E. Braddon]. Fifth edition,1865,London
1856144,"A Magyar nemzet napjai a legrégibb idötöl az Arany Bulláig. ... Kiadta ... Toldy F. (Jászay Pál emlékezete, olvasta ... Toldy F.)",1853,Pest
1856769,Alpine Memories by Émile Javelle. With a biographical and literary notice by Eugène Rambert. Translated and with an introduction by W. R. Chesson,1899,London
1857139,“Errors.” [Poems.],1859,pp. 58. E. T. Heron & Co.
1857537,Krótho zebrana metoda nauki chronologii i dziejów podług ... A. J. Przełożył z francuzkiego i niektóre objaśnienia dodał S. Zanański,1849,we Lwowie
1857620,The Fatal Jealousie. A Tragedy [in five acts and in verse. By N. Payne],1673,London
1858108,"History of the ... voyage and ... shipwreck of the U.S. steamer “Jeannette,” in the Polar seas, together with a full ... account of the death of Lieutenant De Long, ... and the rescue of Danenhower, Melville, and their heroic companions ... Compiled from authentic records [by H. L. Williams]",1882,New York
1858319,"The Tommiebeg Shootings; or, a Moor in Scotland. ... With illustrations, by P. Skelton",1860,London
1858666,Der Anteil Graubündens am Schwabenkrieg. Festschrift zur Calvenfeier. (Geschichtliche Darstellung von C. Jecklin. Berichte und Urkunden zusammengestellt von F. Jecklin.),1899,Davos
1858667,Benedict Fontana und die historische Kritik,1886,Chur
1858978,The Early Fiction of Richard Jefferies. Edited by G. Toplis. With a rare portrait: Smaller Collections,1896,London
1859041,Jefferies' Land: a history of Swindon and its environs ... Edited with notes by G. Toplis. With map and illustrations: Single Works,1896,London
1859240,"The Shadows of a Great City. A story of our day. [By H. L. Williams.] Founded, under special permission, on the celebrated drama by J. J. ... and L. R. S",1889,London
1859304,A wheel to Moscow and back. The record of a record cycle ride ... With a preface by ... A. R. Savile,1895,London
1859383,"Notes on the State of Virginia ... A reprint of the original edition of 1784; with the additions, corrections, and illustrations added by the author in all subsequent editions; together with notes from other sources, and an introduction. Edited by P. L. Ford: Single Works",1894,Brooklyn
1860267,"O Polozcze jey dziejach i konstytucyi dzieło ... przez K. Słotwińskiego zpolszczone, ... i przypisami pomnożone",1819,w Lwowie
1861480,"Papers literary, scientific, &c. ... Edited by Sidney Colvin ... and J. A. Ewing ... With a memoir by R. L. Stevenson",1887,London
1861749,"Bedd Gelert: its facts, fairies, & folk-lore. (Based upon the articles by Mr. William Jones in Y Brython.) ... With translations of poetry by the Rev. H. E. Lewis and an introduction by Principal J. Rhys",1899,Portmadoc
1862068,"Ginx's Baby. ... Thirty-sixth edition, illustrated by F. Barnard",1876,London
1862073,Jobson's Enemies. [A tale.] In eight books. (Illustrated by F. Barnard.),1879,London
1862126,"United States exploring expeditions. Voyage of the U.S. exploring squadron, commanded by Captain C. Wilkes ... in 1838-42, together with explorations and discoveries made by Admiral D'Urville, Captain Ross, and other Navigators and Travellers; and an account of the expedition to the Dead Sea, under Lieutenant Lynch ... With numerous illustrations",1850,Auburn
1862506,Fiona M'Iver: a romance of the Western Isles,1898,London
1863215,Jennie of “The Prince's.” A Novel. [By B. H. Buxton.],1876,London
1863645,"Field Paths and Green Lanes: being country walks, chiefly in Surrey and Sussex. ... Illustrated with sketches by J. W. Whymper",1877,London
1863652,Rambles among the Hills in the Peak of Derbyshire and the South Downs ... With illustrations [by A. H. H. Murray],1880,London
1864717,"Der Schwarzwald ... Mit Illustrationen von W. Hasemann, etc",1890,Berlin
1865015,"Emin Pascha und die Meuterei in Aequatoria ... Aus dem Englischen von H. von Wobeser, etc",1890,Leipzig
1865061,"With the Colours; or, the piping times of peace ... With illustrations by R. Simkin",1881,London
1865063,"Our Life in Japan ... With illustrations from photographs by Lord W. Kerr, etc",1869,London
1865300,Sibyl Falcon. A study in romantic morals ... Illustrated by H. Piffard,1895,London
1865511,Essays and Lyrics ... Edited by ... Charles Jerdan. [With a portrait and biographical sketch of the author.],1878,Edinburgh
1865853,"The Siege of Berwick, a tragedy [in four acts and in verse] ... Edited by H. E. H. Jerningham",1882,London
1866335,"Trois Hommes dans un Bateau ... Traduit de l'anglais par Henri Bouissou. Illustré de 20 gravures, etc: Single Works",1894,Paris
1866350,The Prude's Progress. A comedy in three acts. [By J. K. Jerome and Eden Phillpotts.]: Works written in collaboration,1895,London
1866711,[The Story of a Feather.]: Single Works,1867,London
1866835,At Home in Paris. [Edited by E. D. and S. Jerrold.]: Single Works,1884,London
1866969,"Chroniques de Jersey, dont l'auteur est inconnu; revues et corrigées sur les manuscrits les plus complets, avec une préface, un essai, un errata, et un appendice, par A. Mourant ... Suivies d'un abrégé historique des îles de Jersey, Guernesey, Auregny, et Serk, par G. S. Syvret: Appendix",1858,St. Helier
1866989,"The Jubilee Guide to Jersey, in rhyme, by a Modern Troubadour [Patrick O'Carroll]: Appendix",1887,Jersey
1867533,"[The history and traditions of the land of the Lindsays in Angus and Mearns, with notices of Alyth and Meigle; ... to which is added an appendix, containing ... interesting documents.]",1882,Edinburgh
1867536,Memorials of Angus and the Mearns. (Second edition.) Re-written ... by ... J. Gammack. [Illustrated with etchings.] L.P,1885,Edinburgh
1868021,"Copenhague. La capitale du Danemark, etc. [Edited by F. van Jessen. Translated by M. P. Osterby.]",1898,Copenhague
1869858,The Christ that is to be. A latter-day romance. [By Joseph C. Rickett.],1891,London
1870447,An Hymn to the Redeemer. [By William Goldwin.],1713,London
1871049,"The Prince of Peace, and other poems. [By E. Cartwright.]",1779,London
1873834,A Jewel of a Girl. By the author of “Queenie” [May Crommelin],1877,London
1874355,The Stately Homes of England ... Illustrated with ... engravings on wood,1874,London
1876770,The Female Prelate: being the history and the life and death of Pope Joan. A tragedy [in five acts and in verse]. Written by a Person of Quality [i.e. Elkanah Settle],1689,London
1876811,"Joan the Maid: deliverer of England and France. A story of the fifteenth century. By the author of “Chronicles of the Schönberg-Cotta Family,” etc. [Mrs. E. Charles.]: Appendix",1879,London
1876953,"Itinéraire descriptif, historique, et archéologique de l'Orient ... accompagné de 11 cartes et de 19 plans",1861,Paris
1877246,Johann Rothe's Chronik von Thüringen. Bearbeitet und herausgegeben von ... E. Fritsche,1888,Eisenach
1878522,Histoire de Longueuil et de la famille de Longueuil. Avec gravures et plans,1889,Montréal
1878547,L'Eroina Persiana. Opera dalla tragedia di R. P. Jodrell ... tirata dall'autore. [Translated into Italian by G. Caravita.],1821,Londra
1880110,With Nansen in the North: a record of the Fram expedition in 1893-96. ... Translated from the Norwegian by H. L. Brækstad. [With illustrations.],1899,London
1882514,John-a-Dreams. A tale. [By J. R. Sturgis.],1878,Edinburgh and London
1886779,"Battles and Leaders of the Civil War, being for the most part contributions by Union and Confederate officers, based upon “the Century War Series.” Edited by R. U. J. and C. C. B., etc. [Illustrated.]",1859,4 vol. The Century Co.
1886877,"The Works of Samuel Johnson, LL.D. A new edition ... with an essay on his life and genius by Arthur Murphy: Works",1792,London
1886881,"The Works of Samuel Johnson, LL.D. A new edition ... With an essay on his life and genius by Arthur Murphy. [With a portrait. Edited by A. Chalmers.]: Works",1806,London
1887109,"A Journey to the Western Islands of Scotland ... With remarks by the Rev. Donald McNicol, etc. [With a portrait.]: Single Works. A Journey to the Western Islands of Scotland",1817,Glasgow
1887174,Johnson's Lives of Prior and Congreve. With introduction and notes by F. Rvland: Single Works. The Lives of the English Poets,1897,London
1887181,Johnson's Life of Addison. With introduction and notes by F. Ryland: Single Works. The Lives of the English Poets,1893,London
1887185,Johnson's Life of Dryden. With introduction and notes by F. Ryland: Single Works. The Lives of the English Poets,1895,London
1887195,Johnson's Life of Milton. With introduction and notes by F. Ryland: Single Works. The Lives of the English Poets,1894,London
1887208,Johnson's Life of Swift. With introduction and notes by F. Ryland: Single Works. The Lives of the English Poets,1894,London
1887400,"Wit and Wisdom of Samuel Johnson, selected and arranged by G. B. Hill: Selections",1888,Oxford
1888248,"[Dictionary of Geography, etc. New edition, revised to August 1864.]",1877,London
1888270,A short Geography of Africa ... Edited by E. G. Ravenstein. Reprinted from the fifth ... edition ... of Keith Johnston's School ... Geography,1889,London
1889397,The Historical Geography of the Clans of Scotland. (Map of the Clans of Scotland) [and other diagrams],1872,Edinburgh
1889398,"Historical Geography of the Clans of Scotland ... Third edition, edited with a narrative of the Highland campaigns by W. K. Dickson",1899,Edinburgh
1889816,"[Memoirs of the Rebellion in 1745 and 1746; ... containing a narrative of the progress of the Rebellion ... to the battle of Culloden; the characters of the principal persons engaged in it; and ... an account of the sufferings ... experienced by the author ... Translated from a French MS., ... now in the hands of the Publishers.]",1821,London
1890173,"Londres et les Anglais en 1771. D'après les notes de voyage de MM. Rondeaux de Sétry et de Montbray et d'après l'ouvrage de Grosley, etc",1890,Paris
1890613,Utazás egy sirdomb körül. [Travels in Italy.] (12 fametszettel és 4 énynyomattal Vágó Pál rajzai után.): Single Works,1889,Budapest
1890799,"Letters from Palestine, descriptive of a Tour through Galilee and Judæa, with some account of the Dead Sea, and of the present state of Jerusalem. [Letter 21 signed Th. R. J., i.e. T. R. Joliffe.]",1819,London
1891843,"The Political and Military History of the Campaign of Waterloo: translated from the French of General Baron de Jomini, by Captⁿ S. V. Benet ... Third edition",1864,New-York
1893100,Hernando De Soto. The adventures encountered and the route pursued by the Adelantado during his march through ... Georgia,1880,Savannah
1894328,"The Lass and the Lady; or, Love's ladder. A tale of thrilling interest. [Completed by Thomas Frost. With plates.]",1855,London
1894767,The Angel of the Revolution: a tale of the coming Terror. ... With illustrations by F. T. Janes,1893,London
1895618,"Swin, Swale, and Swatchway: or, Cruises down the Thames, the Medway and the Essex rivers. By H. L. Jones ... assisted by C. B. Lockwood. [Illustrated.]",1892,London
1896918,"Sidney Cooper's Comic pantomime, Robinson Crusoe; or, Harlequin Man Friday and the good fairies of the coral cave, etc",1886,G. J. Parris
1897488,The History of Chudleigh ... Revised ... by W. W. Snell. Second edition,1875,Exeter
1898896,"A History of the County of Brecknock, etc. [Reprinted from the edition of 1805-09. With biography of the author by G. E. F. Morgan.]",1898,Brecknock
1900217,"Tweede Reize naar de Middellandsche Zee, gedaan in de Jaren 1783-85 ... onder bevel van den Kapitein C. van Gennip, etc",1807,Haarlem
1900412,"Nova Zembla ... De voorwerpen door de Nederlandsche Zeevaarders [J. van Heemskerck, W. Barentsz and J. C. Rijp] na hunne overwintering aldaar in 1597 achtergelaten en in 1871 door Kapitein Carlsen teruggevonden, beschreven en toegelicht. ... Tweede druk",1873,'s Gravenhage
1900414,"Nova Zembla (1596-1597). The Barents Relics recovered in the summer of 1876 by C. L. W. Gardiner ... Described and explained by J. K. J. de J. ... Translated, with a preface, by S. R. van Campen, etc",1877,London
1900781,"[The works of Ben Jonson. With a biographical memoir, by William Gifford. A new edition.]: Works",1875,London
1900791,"The Dramatic Works of B. J., and Beaumont and Fletcher: the first printed from the text, and with the notes of, P. Whalley; the latter, from the text, and with the notes of, ... G. Coleman. [With memoirs, prefaces of former editions, etc.]: Smaller Collections",1811,London
1900808,"Contemporains de Shakspeare. B. J., traduit par E. Lafond, précédé d'une notice sur la vie et les œuvres de B. J: Smaller Collections",1863,Paris
1901000,"The Sad Shepherd: or, A Tale of Robin Hood, a fragment [edited] with a continuation, notes and an Appendix [by F. G. Waldron]: Single Works",1783,London
1901067,'Brave Translunary Things' from the works in prose and verse of Ben Jonson. Selected by A. B. Grosart: Selections,1894,1895
1901488,Deux ans dans l'Afrique orientale ... Illustration par E. Bayard,1871,Tours
1903585,Historische studiën nagelaten door ... T. Jorissen. [Edited by J. C. Matthes.],1891,Haarlem
1904227,The History of Joseph. A poem. In eight books. By the author of Friendship in Death [Mrs. Elizabeth Rowe],1736,London
1904424,"A Cigányokról ... Irta József Főherceg Dr Wlislocki Henrik közremüködésével. Térképpel, etc",1894,Budapest
1905471,"Aux Environs de Lyon: préface de M. Coste-Labaume. Édition illustrée de 250 dessins de J. Drevet, etc",1892,Lyon
1906438,"Dictionnaire encyclopédique de géographie historique du royaume de Belgique. Description de ses neuf provinces et de ses 2,603 communes ... Avec la collaboration pour la partie militaire de M. le Baron El. de Heusch ... Illustrée, etc",1895,Bruxelles
1906757,"[J. S.-M. devant le Tribunal de l'Abbaye. ... Mon agonie de trente-huit heures ... Ordre du jour ou salimgondis, etc. (Huitième édition ... corrigée.) [Edited by G. R.]]",1871,Limoges
1907135,A Journey round the World. With illustrations by C. Marr,1888,London
1907138,"A Journey to Hell: or, a visit paid to the Devil: a poem. [By Edward Ward.]",1700,1. pp. 32. London
1908865,"Joys and Sorrows: where to find, and how to exchange them: comprising Agnes; or, a Word for woman ... and other poems. By the authoress of “Amy of the Peak” [Jane M. Bingham]. [With a frontispiece designed by the authoress.]",1847,London
1908904,"Wspomnienie ubiegłych lat ... Przyczynek do historyi Spisków w Galicyi, etc. [Edited by H. Zathey.]",1881,w Krakowie
1909034,"An Apology for “Don Juan.” [A satire, in verse. By J. W. Thomas.] Cantos I., II: Anonymous editions of Byron's Don Juan",1824,London
1909051,"Don Juan, or the Libertine destroy'd: a tragic pantomical [sic] entertainment in two acts, etc. [Founded on Shadwell's “Libertine.”]",1789,London
1909222,"A statistical and commercial history of the Kingdom of Guatemala ... With an account of its conquest by the Spaniards, and a narrative of the principal events down to the present time ... Translated by J. Baily ... With two maps",1823,London
1910127,"Judith: a Biblical cantata. The words selected from the Holy Scriptures by Henry F. Chorley, etc: Bible. Selections. English",1858,Birmingham
1910778,Compendio historial del descubrimiento i conquista del reino de Chile. Seguido de dos discursos: Avisos prudenciales de gobierno i guerra. De la Astrolojia judiciaria. [In verse. A reprint of the edition of 1630. Edited by L. Montt. With a life of the author by D. Barros Arana.],1897,Santiago Chilo.
1911309,"Julia; or, Last Follies. [In verse. By William Beloe.]",1798,London
1911890,Juliet. [A novel. By Mrs. Stevenson.],1883,London
1913262,"Loggboks-Anteckningar under en Jordomsegling med Fregatten Eugenie åren 1851-53, gjorda ... af en J.; bearbetade och utgifna af C. M. Ekbohrn",1856,Stockholm
1913415,"Junia. A novel. By the author of “Estelle Russell”, etc. [i.e. Mary Allan Olney.]",1878,Edinburgh & London
1913751,“Zonnig Afrika.”,1892,Haarlem
1913755,"Jack Junk; or, the Tar for all weathers: a romance of the sea. By the author of Richard Parker, etc. [i.e. T. Prest.]",1851,London
1913883,"Dr. Wilh. Junker's Reisen in Afrika 1875-1886. Nach seinen Tagebüchern unter der Mitwirkung von R. Buchta herausgegeben von dem Reisenden ... Mit ... Original-Illustrationen, etc",1889,Wien
1913884,Travels in Africa during the years 1875-1878 (1879-1883-1882-1886) ... Translated from the German by A. H. Keane ... Illustrated,1890,London
1914132,[An historical account of the Worshipful Company of Carpenters of the City of London. Compiled chiefly from Records in their possession.],1887,London
1914792,English Wayfaring Life in the Middle Ages-XIV. century ... Translated from the French by Lucy T. Smith ... Illustrated,1889,London
